name,zone,category,top,numunits,tenure,preview,booking,psf,notes,link,tenderdate,type,use,landsize,gfa,glslink,dev,landprice,psfgfa,devlink
Lentor Gardens,,OCR - [D26],2028,,,,,,,,,,,,,,,,,
The Continuum,,RCR - [D15],2027,816,Freehold,21/4/2023,6/5/2023,,Thiam Siew Ave,https://share.ecoprop.com/the-continuum/R065963D,,,,,,,,,,
CT FoodNEX,,OCR - [D26],,110,Freehold,8/5/2023,9/5/2023,,Mandai Estate,https://share.ecoprop.com/ct-foodnex/R065963D,,,,,,,,,,
The Reserve Residences,,RCR - [D21],2023,732,99 years,13/5/2023,27/5/2023,,Jalan Anak Bukit,https://share.ecoprop.com/the-reserve-residences/R065963D,,,,,,,,,,
Lentor Hill Residences,,OCR - [D26],,598,99 years,13/5/2023,27/5/2023,,Lentor Central,https://share.ecoprop.com/lentor-hill-residences/R065963D,,,,,,,,,,
Newport Residences,,CCR - [D02],,246,Freehold,,,,Anson Road,https://share.ecoprop.com/newport-residences/R065963D,,,,,,,,,,
Marina One Residences,,CCR - [D01],,1042,99,,,,Public,https://share.ecoprop.com/Marina-One-Residences/R065963D,,,,,,,,,,
Sky Everton,,RCR - [D02],,262,Freehold,,,,Public,https://share.ecoprop.com/Sky-Everton/R065963D,,,,,,,,,,
One Bernam,,CCR - [D02],2025,351,99,,,,Public,https://share.ecoprop.com/One-Bernam/R065963D,,,,,,,,,,
One Pearl Bank,,RCR - [D03],2024,774,99,,,,Public,https://share.ecoprop.com/One-Pearl-Bank/R065963D,,,,,,,,,,
The Landmark,,RCR - [D03],,396,99,,,,Public,https://share.ecoprop.com/The-Landmark/R065963D,,,,,,,,,,
Eden Residences Capitol,,CCR - [D06],,39,99,,,,Public,https://share.ecoprop.com/Eden-Residences-Capitol/R065963D,,,,,,,,,,
Concourse Skyline,,CCR - [D07],,360,99,,,,Public,https://share.ecoprop.com/Concourse-Skyline/R065963D,,,,,,,,,,
Midtown Bay,,CCR - [D07],2023,219,99,,,,Public,https://share.ecoprop.com/Midtown-Bay/R065963D,,,,,,,,,,
The M,,CCR - [D07],,522,99,,,,Public,https://share.ecoprop.com/The-M/R065963D,,,,,,,,,,
Midtown Modern,,CCR - [D07],2024,558,99,,,,Public,https://share.ecoprop.com/Midtown-Modern/R065963D,,,,,,,,,,
Klimt Cairnhill,,CCR - [D09],,138,Freehold,,,,Public,https://share.ecoprop.com/Klimt-Cairnhill/R065963D,,,,,,,,,,
Kopar At Newton,,CCR - [D09],,378,99,,,,Public,https://share.ecoprop.com/Kopar-At-Newton/R065963D,,,,,,,,,,
The Lumos,,CCR - [D09],,53,99,,,,Public,https://share.ecoprop.com/The-Lumos/R065963D,,,,,,,,,,
TripleOne Somerset,,CCR - [D09],,TBC,99,,,,Public,https://share.ecoprop.com/TripleOne-Somerset/R065963D,,,,,,,,,,
3 Orchard By-The-Park,,CCR - [D10],2017,77,Freehold,,,,Public,https://share.ecoprop.com/3-Orchard-By-The-Park/R065963D,,,,,,,,,,
Leedon Green,,CCR - [D10],2024,638,Freehold,,,,Public,https://share.ecoprop.com/Leedon-Green/R065963D,,,,,,,,,,
One Draycott,,CCR - [D10],,64,99,,,,Public,https://share.ecoprop.com/One-Draycott/R065963D,,,,,,,,,,
Park Nova,,CCR - [D10],,54,Freehold,,,,Public,https://share.ecoprop.com/Park-Nova/R065963D,,,,,,,,,,
Perfect Ten,,CCR - [D10],,230,Freehold,,,,Public,https://share.ecoprop.com/Perfect-Ten/R065963D,,,,,,,,,,
Van Holland,,CCR - [D10],,69,Freehold,,,,Public,https://share.ecoprop.com/Van-Holland/R065963D,,,,,,,,,,
White House Residences,,CCR - [D10],,12,Freehold,,,,Public,https://share.ecoprop.com/White-House-Residences/R065963D,,,,,,,,,,
Wilshire Residences,,CCR - [D10],,85,Freehold,,,,Public,https://share.ecoprop.com/Wilshire-Residences/R065963D,,,,,,,,,,
26 Newton,,CCR - [D11],,180,Freehold,,,,Public,https://share.ecoprop.com/26-Newton/R065963D,,,,,,,,,,
Enchante,,CCR - [D11],,25,Freehold,,,,Public,https://share.ecoprop.com/Enchante/R065963D,,,,,,,,,,
Ikigai,,CCR - [D11],,16,Freehold,,,,Public,https://share.ecoprop.com/Ikigai/R065963D,,,,,,,,,,
Pullman Residence,,CCR - [D11],,340,Freehold,,,,Public,https://share.ecoprop.com/Pullman-Residence/R065963D,,,,,,,,,,
Myra,,RCR - [D13],,85,Freehold,,,,Public,https://share.ecoprop.com/Myra/R065963D,,,,,,,,,,
Mori,,RCR - [D14],,137,Freehold,,,,Public,https://share.ecoprop.com/Mori/R065963D,,,,,,,,,,
Amber Park,,RCR - [D15],,592,Freehold,,,,Public,https://share.ecoprop.com/Amber-Park/R065963D,,,,,,,,,,
Meyer Mansion,,RCR - [D15],2024,200,Freehold,,,,Public,https://share.ecoprop.com/Meyer-Mansion/R065963D,,,,,,,,,,
The Line @ Tanjong Rhu,,RCR - [D15],,130,Freehold,,,,Public,https://share.ecoprop.com/The-Line-Tanjong-Rhu/R065963D,,,,,,,,,,
Sceneca Residence,,OCR - [D16],2026,268,99,,,,Public,https://share.ecoprop.com/Sceneca-Residence/R065963D,,,,,,,,,,
Amo Residence,,OCR - [D20],,372,99,,,,Public,https://share.ecoprop.com/Amo-Residence/R065963D,,,,,,,,,,
Ki Residences,,OCR - [D21],,660,999,,,,Public,https://share.ecoprop.com/Ki-Residences/R065963D,,,,,,,,,,
