name,zone,category,top,psf1,psf2,notes,link,psf1_max,psf2_max,psf1_avg,psf2_avg,psf1_new,psf2_new
1 CANBERRA,,OCR - [D27],,1232,1153, ,https://share.ecoprop.com/1-CANBERRA/R065963D,1232,1178,1182,1115,0,0
ARC AT TAMPINES,,OCR - [D18],,1420,1208, ,https://share.ecoprop.com/ARC-AT-TAMPINES/R065963D,1420,1218,1259,1154,0,0
AUSTVILLE RESIDENCES,,OCR - [D19],,1241,1193, ,https://share.ecoprop.com/AUSTVILLE-RESIDENCES/R065963D,1241,1219,1232,1139,0,0
BELLEWATERS,,OCR - [D19],,1372,1357, ,https://share.ecoprop.com/BELLEWATERS/R065963D,1372,1357,1317,1271,0,0
BELLEWOODS,,OCR - [D25],,1164,1168, ,https://share.ecoprop.com/BELLEWOODS/R065963D,1303,1224,1264,1154,0,0
BELYSA,,OCR - [D18],,1204,1017, ,https://share.ecoprop.com/BELYSA/R065963D,1204,1199,1162,1017,0,0
BISHAN LOFT,,RCR - [D20],,0,1536, ,https://share.ecoprop.com/BISHAN-LOFT/R065963D,0,1536,0,1481,0,0
BLOSSOM RESIDENCES,,OCR - [D23],,1267,1128, ,https://share.ecoprop.com/BLOSSOM-RESIDENCES/R065963D,1290,1251,1200,1159,0,0
CHESTERVALE,,OCR - [D23],,0,858, ,https://share.ecoprop.com/CHESTERVALE/R065963D,0,1032,0,891,0,0
CITYLIFE@TAMPINES,,OCR - [D18],,1339,1333, ,https://share.ecoprop.com/CITYLIFE-TAMPINES/R065963D,1339,1400,1339,1296,0,0
COPEN GRAND,,OCR - [D24],,0,0, ,https://share.ecoprop.com/COPEN-GRAND/R065963D,1499,1492,1375,1413,1499,1481
EASTVALE,,OCR - [D18],,0,991, ,https://share.ecoprop.com/EASTVALE/R065963D,0,997,0,994,0,0
ECOPOLITAN,,OCR - [D19],,1270,1194, ,https://share.ecoprop.com/ECOPOLITAN/R065963D,1270,1264,1270,1214,0,0
ESPARINA RESIDENCES,,OCR - [D19],,1491,1548, ,https://share.ecoprop.com/ESPARINA-RESIDENCES/R065963D,1491,1548,1408,1380,0,0
FORESTVILLE,,OCR - [D25],,1152,1131, ,https://share.ecoprop.com/FORESTVILLE/R065963D,1152,1138,1152,1085,0,0
HERON BAY,,OCR - [D19],,1123,1277, ,https://share.ecoprop.com/HERON-BAY/R065963D,1123,1277,1123,1215,0,0
HUNDRED PALMS RESIDENCES,,OCR - [D19],,1420,0, ,https://share.ecoprop.com/HUNDRED-PALMS-RESIDENCES/R065963D,1420,1164,1420,1164,1195,1164
INZ RESIDENCE,,OCR - [D23],,1060,1173, ,https://share.ecoprop.com/INZ-RESIDENCE/R065963D,1060,1191,1060,1182,1013,998
LA CASA,,OCR - [D25],,944,1004, ,https://share.ecoprop.com/LA-CASA/R065963D,1009,1004,944,954,0,0
LAKE LIFE,,OCR - [D22],,1135,1320, ,https://share.ecoprop.com/LAKE-LIFE/R065963D,1196,1351,1135,1235,0,0
LILYDALE,,OCR - [D27],,0,866, ,https://share.ecoprop.com/LILYDALE/R065963D,0,896,0,853,0,0
LUSH ACRES,,OCR - [D28],,1251,1327, ,https://share.ecoprop.com/LUSH-ACRES/R065963D,1354,1344,1268,1257,0,0
NORTH GAIA,,OCR - [D27],,0,0, ,https://share.ecoprop.com/NORTH-GAIA/R065963D,1303,1442,1219,1291,1248,1381
