name,zone,category,top,psf1,psf2,notes,link,psf1_max,psf2_max,psf1_avg,psf2_avg,psf1_new,psf2_new
8 ON CHUAN,,OCR - [D19],,0,1078, ,,0,1078,0,1078,0,0
ADELPHI PARK ESTATE,,RCR - [D20],,2416,2334, ,,2416,2334,2416,2334,0,0
AIRVIEW PARK,,RCR - [D21],,2283,1420, ,,2283,2460,2283,2460,0,2460
ALLAMANDA GROVE,,CCR - [D10],,2854,1892, ,,2854,2224,2854,1892,0,0
ALWYN PARK,,OCR - [D19],,1699,1117, ,,1699,1117,1699,1117,0,0
APOLLO GARDENS,,OCR - [D16],,0,1490, ,,0,1490,0,1490,0,0
ARDISIA GARDENS,,OCR - [D19],,1536,823, ,,1536,1148,1536,823,0,0
ASHLEY GREEN,,CCR - [D10],,0,1156, ,,0,1156,0,1156,0,0
AVANT PARC,,OCR - [D27],,1172,0, ,,1172,0,1172,0,0,0
AVILA TERRACE,,OCR - [D17],,1876,1408, ,,1876,1408,1876,1408,0,0
BAN GUAN PARK,,CCR - [D10],,0,2298, ,,0,2928,0,2298,0,0
BANYAN PARK,,RCR - [D05],,1893,1927, ,,1893,1927,1893,1927,0,0
BANYAN VILLAS,,OCR - [D26],,2106,1764, ,,2106,1764,2106,1764,0,0
BARTLEY RISE ESTATE,,OCR - [D19],,1654,836, ,,1654,1478,1654,836,0,0
BARTLEY VILLAS,,OCR - [D19],,1062,928, ,,1062,928,1062,928,0,0
BEAUTY GARDEN,,OCR - [D19],,1490,1403, ,,1490,1569,1490,1403,0,0
BEDOK GROVE,,OCR - [D16],,2086,0, ,,2086,0,2086,0,0,0
BEDOK PARK,,OCR - [D16],,0,1719, ,,0,1719,0,1413,0,0
BEDOK PESARI,,OCR - [D16],,1406,1339, ,,1406,1339,1406,1339,0,0
BEDOK RIA,,OCR - [D16],,2091,1019, ,,2091,1067,2091,1019,0,0
BEDOKVILLE,,OCR - [D16],,0,1149, ,,0,1593,0,1149,0,0
BEECHWOOD TERRACE,,OCR - [D25],,0,1173, ,,0,1173,0,1173,0,0
BELGRAVIA PARK,,OCR - [D28],,0,1395, ,,0,1633,0,1395,0,0
BENA PARK,,OCR - [D17],,0,1456, ,,0,1456,0,1456,0,0
BINJAI PARK,,RCR - [D21],,0,1824, ,,0,1876,0,1824,0,0
BLAIR PLAIN CONSERVATION AREA,,RCR - [D02],,2612,2620, ,,4010,2807,3311,2620,0,0
BOON GARDENS,,OCR - [D19],,1678,0, ,,1678,0,1678,0,0,0
BOUTIQUE @ KOVAN,,OCR - [D19],,0,1047, ,,0,1047,0,1047,0,0
BRADDELL HEIGHTS ESTATE,,OCR - [D13],,0,1337, ,,0,1861,0,1274,0,0
BREEZEWAYS,,RCR - [D05],,0,1232, ,,0,1943,0,1232,0,0
BRIGHT GARDEN,,OCR - [D15],,1887,0, ,,1887,0,1887,0,0,0
BRIGHTHILL RESIDENCES,,RCR - [D20],,0,0, ,,0,2937,0,1983,0,1983
BUKIT LOYANG ESTATE,,OCR - [D17],,0,1084, ,,0,1339,0,1084,0,0
BURGHLEY DRIVE,,OCR - [D19],,0,0, ,,2020,2221,1837,2221,1837,1820
BURGUNDY HILL,,OCR - [D23],,0,1020, ,,0,1278,0,1020,0,0
CACTUS BLOOM,,OCR - [D28],,0,1281, ,,0,1281,0,1281,0,0
CACTUS GREEN,,OCR - [D28],,0,867, ,,0,867,0,867,0,0
CAIRNHILL CONSERVATION AREA,,CCR - [D09],,0,3903, ,,0,4349,0,3903,0,0
CALDECOTT HILL ESTATE,,CCR - [D11],,0,1225, ,,0,1800,0,1225,0,0
CAMDEN PARK,,CCR - [D11],,0,1957, ,,0,1957,0,1957,0,0
CAMELIA PARK,,OCR - [D28],,0,1323, ,,0,1323,0,1323,0,0
CAMWOOD PARK,,CCR - [D10],,0,1722, ,,0,1722,0,1722,0,0
CANARY PARK,,OCR - [D16],,1608,1721, ,,1608,1721,1608,1721,0,0
CAPITOL PARK,,CCR - [D11],,2736,2265, ,,3474,3498,2736,2265,0,3498
CARMINE COLLECTION,,RCR - [D21],,0,2243, ,,0,2243,0,2243,0,0
CASA SERENO,,OCR - [D14],,0,1056, ,,0,1056,0,1056,0,0
CASHEW ESTATE,,OCR - [D23],,0,1113, ,,0,1544,0,1113,0,0
CASHEW GREEN,,OCR - [D23],,2384,0, ,,2384,2212,2384,1960,2089,1960
CASHEW VILLAS,,OCR - [D23],,2134,1159, ,,2325,2160,2134,1159,0,0
CATHAY GARDEN,,OCR - [D15],,1962,0, ,,2571,0,1962,0,0,0
CAYMAN RESIDENCES,,OCR - [D15],,0,2176, ,,2784,2612,2409,2176,2409,2176
CENTURY WOODS,,OCR - [D25],,1270,1045, ,,1517,1045,1389,1045,0,0
CHANGI GROVE,,OCR - [D17],,0,1221, ,,0,1221,0,1221,0,0
CHANGI HEIGHTS,,OCR - [D17],,1612,1231, ,,1650,1231,1612,1231,0,0
CHARLTON GARDEN,,OCR - [D19],,0,1663, ,,0,1663,0,1663,0,0
CHARLTON PARK,,OCR - [D19],,1386,1391, ,,1935,1807,1386,1391,0,0
CHELSEA VILLAGE,,RCR - [D05],,2193,1111, ,,2193,1415,2193,1111,0,0
CHENG SOON GARDEN,,RCR - [D21],,0,1587, ,,0,1720,0,1524,0,0
CHEOW KENG GARDEN,,RCR - [D15],,1641,1338, ,,1641,1338,1641,1338,0,0
CHESTER PARK,,RCR - [D05],,1929,0, ,,1929,0,1929,0,0,0
CHESTNUT GARDENS,,OCR - [D23],,1863,1701, ,,1863,1787,1863,1701,0,0
CHIP BEE GARDENS,,CCR - [D10],,0,1685, ,,0,2164,0,1685,0,0
CHIP HOCK GARDENS,,CCR - [D10],,0,2301, ,,0,3335,0,2818,0,0
