name,zone,category,top,psf1,psf2,notes,link,psf1_max,psf2_max,psf1_avg,psf2_avg,psf1_new,psf2_new
3BHC,,RCR - [D20],,0,731, ,,0,731,0,731,0,0
8 @ STRATTON,,OCR - [D28],,0,655, ,,0,655,0,655,0,0
AFFINITY AT SERANGOON,,OCR - [D19],,0,0, ,,1206,0,1176,0,1176,0
ALANA,,OCR - [D28],,896,1080, ,,1004,1165,896,1054,824,0
ALLSWORTH PARK,,CCR - [D10],,0,1411, ,,0,1411,0,1411,0,0
ARCHIPELAGO,,OCR - [D16],,0,806, ,,0,806,0,806,0,0
ASTON GREEN,,OCR - [D19],,0,672, ,,0,672,0,672,0,0
ASTON RESIDENCE,,OCR - [D17],,0,667, ,,0,673,0,667,0,0
ATELIER VILLAS,,OCR - [D26],,0,928, ,,0,928,0,928,0,0
BARKER 9,,CCR - [D11],,0,828, ,,0,828,0,828,0,0
BARKER TERRACES,,CCR - [D11],,1206,0, ,,1269,0,1206,0,0,0
BARKER VILLE,,CCR - [D11],,0,924, ,,0,924,0,924,0,0
BAROSSA GARDENS,,RCR - [D05],,1334,0, ,,1353,0,1334,0,0,0
BARTLEY RISE ESTATE,,OCR - [D19],,1309,0, ,,1378,0,1309,0,0,0
BEAU VISTA,,OCR - [D14],,764,0, ,,764,0,764,0,0,0
BELGRAVIA ACE,,OCR - [D28],,0,0, ,,0,1127,0,1117,0,1117
BELGRAVIA GREEN,,OCR - [D28],,0,0, ,,0,1132,0,1117,0,883
BELGRAVIA VILLAS,,OCR - [D28],,0,966, ,,0,966,0,966,0,0
BELLAVILLE,,RCR - [D13],,0,700, ,,0,700,0,700,0,0
BINJAI CREST,,RCR - [D21],,674,754, ,,674,799,674,754,0,0
BISHOPSGATE RESIDENCES,,CCR - [D10],,0,3908, ,,0,3908,0,3908,0,0
BOTANIC @ CLUNY PARK,,CCR - [D10],,0,0, ,,0,1462,0,1462,0,0
CABANA,,OCR - [D28],,981,848, ,,981,850,972,848,0,0
CASA FIDELIO,,OCR - [D15],,1198,0, ,,1198,0,1198,0,0,0
CENTURION 12,,RCR - [D20],,0,664, ,,0,664,0,664,0,0
CENTURION RESIDENCES,,RCR - [D13],,0,767, ,,0,767,0,767,0,0
CERELIA VISTA,,OCR - [D19],,0,686, ,,0,686,0,686,0,0
CEYLON COURT,,RCR - [D15],,1510,0, ,,1510,0,1510,0,0,0
CHANCERY HILL VILLAS,,CCR - [D11],,0,721, ,,0,885,0,721,0,816
CHARLTON 18,,OCR - [D19],,0,904, ,,0,920,0,904,0,0
CHARLTON 27,,OCR - [D19],,0,752, ,,0,752,0,752,0,0
