name,zone,category,tenderdate,type,use,tenure,landsize,gfa,top,glslink,notes,dev,landprice,projectname,psf_gfa
Lentor Central,,,12/9/2023,,Residential (Non-Landed),99,158263.9276,443139.428,2028,https://www.ura.gov.sg/Corporate/Land-Sales/Sites-For-Tender/Lentor-Central-apr23,,,,,
Champions Way,,,12/9/2023,,Residential (Non-Landed),99,155351.2135,326243.361,2028,https://www.ura.gov.sg/Corporate/Land-Sales/Sites-For-Tender/Champions-Way,,,,,
Jalan Tembusu,,,18/7/2023,,Residential (Non-Landed),99,221436.2415,775033.842,2028,https://www.ura.gov.sg/Corporate/Land-Sales/Sites-For-Tender/jlntembusu,,,,,
Marina Gardens Lane,Central/South,,27/6/2023,private (790+ units),Residential with Commercial at 1st Sty,99,"131,805",738113.629,2028,https://www.ura.gov.sg/Corporate/Land-Sales/Sites-For-Tender/marina-gardens-lane,,,,,
Lentor Gardens,,,13/4/2023,,Residential (Non-Landed),99,"494,290",,2028,https://www.ura.gov.sg/maps/?service=GLSRELEASE&site=999,,GuocoLand (Singapore) Pte. Ltd. and Intrepid Investments Pte. Ltd.,"$486,800,222",,
Bukit Timah Link,,,3/11/2022,Residential (Non-Landed),Residential,99,"49,632.30","148,904",,,,Bukit One Pte. Ltd.,"$200,001,888.00",,"$14,457.27"
Hillview Rise,,,3/11/2022,Residential (Non-Landed),Residential,99,"111,890.30","313,298",,,,"Far East Civil Engineering (Pte.) Limited and Sekisui House, Ltd.","$320,777,000.00",,"$11,020.61"
Bukit Batok E12,,,13/9/2022,EC,Residential,99,"16,623.70","536,805",2025,https://www.ura.gov.sg/maps/?link=N4IgDg9gliBcoBsCGAXOBGAdAZgGwAYAOAFl21IFZDCBOXCgdgBoQEA7Acw320wePw0GhAEwC6uQugC%2BLAM4BTBAGUAbgGM4IAOIAZZQCUAorqMBBZUZAsAtkjBGAHigVs08EAH05EAK4oACwB1BTl3RFQMHApiclxiOiFSIkIWdi5YdB4%2BbBEaCmx8BnQKGmIRClkvNggAJ0CjJDC4CPcsPH4sguxsBhEeGho0zm5efj76HuohPukqgCMmhTswOABtUCgAEy15m3RrcCQ2BQAtAEk2LYVHOH70FggwJHUoFABPbnxpAF1H1QUtWQn1gGxA2y0EAQxEOzxOFyuNzgAmIj2erw%2BX1kmx2sBAUMIsOOZ0u11usASQ3x6LeIKy3x%2B0iAA,Bukit Batok West Avenue 5,CDL Zenith Pte. Ltd.,336068000,,
Lentor Hills Road (Parcel B),,,13/9/2022,Residential (Non-Landed),Residential,99,"116,451.90","244,550",,,,TID Residential Pte. Ltd.,"$276,360,000.00",,"$12,163.73"
Lentor Central,,,13/9/2022,Residential (Non-Landed),Residential,99,"144,709.70","434,130",,,,"Forsea Residence Pte. Ltd., Soilbuild GroupHoldings Ltd. and UED Alpha Pte. Ltd.","$481,028,300.00",,"$11,926.42"
Dunman Road,,,2/6/2022,Residential (Non-Landed),Residential,99,"271,613.10","950,656",,,,Sing-Haiyi Jade Pte. Ltd.,"$1,283,888,998.00",,"$14,536.62"
Pine Grove (Parcel A),,,2/6/2022,Residential (Non-Landed),Residential,99,"242,555.60","509,368",,,,United Venture Development (No. 5) Pte. Ltd.,"$671,500,800.00",,"$14,189.73"
Bukit Batok E11,,,8/3/2022,EC,Residential,99,"12,449.30","402,001",2025,https://www.ura.gov.sg/maps/?link=N4IgDg9gliBcoBsCGAXOBGAdAZgKwE4B2Q7QgNl2wBYAOOgBgCYAaEBAOwHMN7tNCqjPOkrp8NRlSoBfVgGcApggDKANwDGcEAHEAMsoBKAUV1GAgsqMhWAWyRgjADxQL2aeCAD6ciAFcUABYA6gpy7oioGDi0%2BGKM6GRSZPTErBzcsOi8-Fk0uAlk%2BNjoIjKsnuwQAE6BRkhhcBHuWKS49FSEjMT04uhU6GlcPHwCNOgM44TiNDKyIABG9Qp2YHAA2qBQACZa8zbo1uBI7AoAWgCS7FsKjnCM9AMgEGBI6lAoAJ489NIAuqwQVQKKrIL6wDYgbZaCAIKiHF4nC5XG5wKjtAEvN6fb6yTY7WBPBA0eHHM6Xa63WBUfD4DGvd5grI-X7SIA,Bukit Batok West Avenue 8,"CNQC-OS (2) Pte.
Ltd. and SNC Realty Pte. Ltd.",266000000,,
Dairy Farm Walk,,,8/3/2022,Residential (Non-Landed),Residential,99,"168,593.20","354,049",,,,Sim Lian Land Pte Ltd and Sim Lian Development Pte Ltd,"$347,001,000.00",,"$10,549.39"
Jalan Tembusu,,,18/1/2022,Residential (Non-Landed),Residential,99,"210,616.60","589,730",,,,CDL Triton Pte. Ltd.,"$768,000,000.00",,"$14,017.41"
Lentor Hills Road (Parcel A),,,18/1/2022,Residential (Non-Landed),Residential,99,"184,455.60","553,370",,,,"Intrepid Investments Pte. Ltd., GuocoLand (Singapore) Pte. Ltd. and TID Residential Pte. Ltd.","$586,591,288.00",,"$11,409.84"
Slim Barracks Rise (Parcel A),,,28/9/2021,Residential with Commercial at 1st Sty,Residential with Commercial at 1st Storey,99,"85,649.60","256,950",,,,EL Development Pte Ltd,"$320,100,000.00",,"$13,409.01"
