name,zone,category,top,numunits,tenure,notes,projlink,tenderdate,type,use,landsize,gfa,glslink,dev,landprice,psfgfa,devlink
Lentor Gardens,,,2028,,99,,,13/4/2023,,Residential (Non-Landed),494290,,https://www.ura.gov.sg/maps/?service=GLSRELEASE&site=999,GuocoLand (Singapore) Pte. Ltd. and Intrepid Investments Pte. Ltd.,486800222,,
Marina Gardens Lane,Central/South,,2028,,99,,,27/6/2023,private (790+ units),Residential with Commercial at 1st Sty,131805,738114,https://www.ura.gov.sg/Corporate/Land-Sales/Sites-For-Tender/marina-gardens-lane,,,,
Jalan Tembusu,,,2028,,99,,,18/7/2023,,Residential (Non-Landed),221436,775034,https://www.ura.gov.sg/Corporate/Land-Sales/Sites-For-Tender/jlntembusu,,,,
Lentor Central,,,2028,,99,,,12/9/2023,,Residential (Non-Landed),158264,443139,https://www.ura.gov.sg/Corporate/Land-Sales/Sites-For-Tender/Lentor-Central-apr23,,,,
Champions Way,,,2028,,99,,,12/9/2023,,Residential (Non-Landed),155351,326243,https://www.ura.gov.sg/Corporate/Land-Sales/Sites-For-Tender/Champions-Way,,,,
Media Circle,,,,,,,,1/1/2000,,Mix,114098,,https://www.ura.gov.sg/maps/?service=GLSRELEASE&site=1012,,,,
Marina Gardens Crescent,,,,,,,,1/1/2000,White Site,Mix,,,https://www.ura.gov.sg/maps/?service=GLSRELEASE&site=1013,,,,
Woodlands Avenue 2,,,,,99,reserved,,1/1/2000,White Site,Commercial / Residential (500+ units),296008,,,,,,
Pine Grove (Parcel B),,,,,99,reserved,,1/1/2000,,Residential (Non-Landed),269098,,,,,,
Clementi Avenue 1,,,,,99,reserved,,1/1/2000,,Residential (Non-Landed),143160,,,,,,
Lentor Gardens,,,,,99,reserved,,1/1/2000,,Residential (Non-Landed),221737,,,,,,
Lorong 1 Toa Payoh,,,,,99,reserved,,1/1/2000,,Residential (Non-Landed),166841,,,,,,
